cities,latitude,longitude,temperature,humidity,pressure,wind_speed,cloudiness
sirnak,37.52,42.46,48.09,50,1013,6.02,100
bundaberg,-24.85,152.35,66.31,48,1021,9.17,90
atuona,-9.8,-139.03,82.04,73,1010,17.4,13
port elizabeth,-33.92,25.57,59.0,100,1025,4.7,90
qaanaaq,77.48,-69.36,20.88,88,997,2.82,97
oktyabrskiy,54.48,53.47,39.49,69,1024,2.51,0
kodiak,57.79,-152.41,57.2,28,1003,16.11,1
khatanga,71.97,102.5,11.71,95,1017,6.98,99
taltal,-25.4,-70.48,59.61,76,1015,2.28,22
cape town,-33.93,18.42,54.61,87,1021,2.24,85
fort smith,35.39,-94.4,78.28,74,1012,5.82,90
bambous virieux,-20.34,57.76,76.53,88,1017,6.93,40
warrnambool,-38.38,142.48,52.0,96,1027,1.72,100
rikitea,-23.12,-134.97,74.03,74,1016,14.56,99
vostok,46.49,135.88,36.84,79,1004,0.56,100
clyde river,70.47,-68.59,14.0,72,1004,9.17,1
busselton,-33.65,115.33,66.18,78,1005,17.96,81
mackay,-21.15,149.2,70.68,43,1020,12.75,5
hilo,19.73,-155.09,76.37,58,1021,12.75,20
port alfred,-33.59,26.89,59.0,98,1024,4.0,100
vaini,-21.2,-175.2,80.6,78,1015,6.93,40
pasan,22.85,82.2,76.95,36,1007,3.38,0
bredasdorp,-34.53,20.04,55.4,93,1023,1.12,78
albany,42.6,-73.97,69.98,33,1002,4.94,40
east london,-33.02,27.91,65.75,74,1024,10.98,95
erenhot,43.65,111.98,56.86,24,1016,7.29,0
tasiilaq,65.61,-37.64,30.2,92,1005,27.51,100
butaritari,3.07,172.79,82.22,81,1010,9.08,100
kota kinabalu,5.97,116.07,78.71,88,1011,5.82,20
broken hill,-31.95,141.43,48.2,76,1029,9.17,0
nikolskoye,59.7,30.79,41.85,81,1011,2.26,20
hermanus,-34.42,19.23,55.99,81,1020,11.07,89
hay river,60.82,-115.8,46.4,65,1016,12.75,40
torbay,47.67,-52.73,35.65,100,998,10.29,90
altamira,-3.2,-52.21,75.43,94,1011,2.08,100
san cristobal,7.77,-72.22,69.4,69,1012,3.74,71
alofi,-19.06,-169.92,82.4,78,1013,5.82,2
acapulco,16.86,-99.89,82.4,78,1009,6.93,5
puerto ayora,-0.74,-90.35,80.26,69,1008,17.22,20
tuktoyaktuk,69.45,-133.04,14.0,78,1028,9.17,90
hobart,-42.88,147.33,56.3,71,1024,4.7,40
kupang,-10.17,123.58,80.6,78,1013,11.41,20
dongsheng,39.82,109.98,54.59,25,1013,13.33,100
saint-philippe,-21.36,55.77,71.01,78,1016,5.82,20
bonthe,7.53,-12.51,81.23,84,1011,5.57,100
hasaki,35.73,140.83,63.88,93,1011,3.36,75
chuy,-33.7,-53.46,56.8,81,1018,6.78,35
chapais,49.78,-74.85,37.4,93,1003,9.17,90
mar del plata,-38.0,-57.56,58.08,93,1015,10.29,90
